Date,Open,High,Low,Close,Adj Close,Volume
2019-03-07,117.029999,117.099998,115.000000,115.709999,115.044785,1775200
2019-03-08,115.000000,116.669998,114.559998,116.540001,115.870010,1048000
2019-03-11,116.650002,117.300003,116.220001,116.879997,116.208054,740900
2019-03-12,117.339996,117.339996,115.370003,116.290001,115.621452,902800
2019-03-13,116.980003,118.849998,116.320000,117.120003,116.446678,995600
2019-03-14,117.040001,117.279999,115.470001,116.449997,115.780525,991600
2019-03-15,116.839996,118.449997,116.769997,117.180000,116.506332,1142000
2019-03-18,117.629997,118.730003,117.379997,118.300003,117.619896,1309100
2019-03-19,118.949997,119.449997,116.970001,117.440002,116.764839,1084200
2019-03-20,117.099998,117.099998,115.199997,116.000000,115.333115,1548000
2019-03-21,115.570000,118.010002,115.279999,117.769997,117.092941,728200
2019-03-22,117.279999,117.449997,115.129997,115.580002,114.915535,1423000
2019-03-25,115.169998,115.599998,113.860001,114.500000,113.841743,1559000
2019-03-26,111.800003,115.809998,111.339996,113.110001,112.459732,2616100
2019-03-27,113.470001,113.750000,110.629997,110.989998,110.351921,1860000
2019-03-28,111.290001,112.769997,110.739998,112.449997,111.803520,1342500
2019-03-29,112.830002,114.820000,112.540001,114.620003,113.961052,1558500
2019-04-01,115.790001,117.169998,115.309998,115.610001,114.945358,1615500
2019-04-02,115.610001,116.510002,115.169998,116.260002,115.591621,1090700
2019-04-03,116.959999,117.059998,115.559998,116.629997,115.959496,981900
2019-04-04,117.010002,117.010002,115.629997,115.870003,115.203865,763400
2019-04-05,115.839996,117.480003,115.839996,117.269997,116.595810,911800
2019-04-08,117.279999,118.949997,116.919998,118.419998,117.739204,1843100
2019-04-09,117.540001,118.309998,115.010002,115.320000,114.657028,1229000
2019-04-10,115.839996,116.760002,115.580002,116.510002,115.840187,1015600
2019-04-11,116.870003,119.019997,116.860001,118.940002,118.256218,1264400
2019-04-12,119.779999,122.059998,119.570000,121.940002,121.238968,1757200
2019-04-15,122.379997,122.519997,121.540001,122.459999,121.755981,1550700
2019-04-16,123.300003,124.379997,122.860001,124.110001,123.396492,1654000
2019-04-17,124.639999,124.809998,123.070000,123.239998,122.531494,1982700
2019-04-18,123.610001,123.900002,119.510002,120.989998,120.294426,2415400
2019-04-22,120.059998,120.779999,119.750000,120.410004,119.717766,1351200
2019-04-23,120.980003,122.559998,120.500000,122.480003,121.775864,1235900
2019-04-24,122.739998,122.739998,120.099998,121.500000,120.801498,1235100
2019-04-25,121.139999,121.879997,120.209999,120.760002,120.065758,1142300
2019-04-26,121.360001,121.650002,120.540001,121.160004,120.463455,1126300
2019-04-29,121.169998,122.570000,120.839996,122.279999,121.577011,1618300
2019-04-30,121.879997,121.879997,119.800003,120.940002,120.244720,2259300
2019-05-01,127.260002,130.899994,125.449997,129.029999,128.288208,3795200
2019-05-02,128.820007,128.979996,125.550003,125.769997,125.046944,1803600
2019-05-03,126.790001,131.039993,126.730003,130.889999,130.137512,2134100
2019-05-06,127.320000,129.630005,127.150002,129.169998,128.427399,1224300
2019-05-07,128.039993,128.330002,125.680000,127.279999,126.548271,1309000
2019-05-08,126.800003,128.520004,126.330002,127.320000,126.588036,1065700
2019-05-09,126.150002,127.839996,125.010002,127.330002,126.597984,1057900
2019-05-10,126.290001,127.500000,123.470001,126.070000,125.345222,1508600
2019-05-13,123.599998,123.599998,119.769997,121.889999,121.189255,1761100
2019-05-14,122.199997,125.040001,122.080002,123.580002,122.869545,1504100
2019-05-15,122.370003,124.459999,121.550003,123.769997,123.058441,835200
2019-05-16,124.500000,126.239998,123.720001,125.720001,124.997238,722600
2019-05-17,124.339996,126.129997,124.160004,124.879997,124.162064,752900
2019-05-20,123.699997,123.980003,122.410004,123.110001,122.402245,763800
2019-05-21,124.050003,125.180000,124.000000,124.690002,123.973160,1033500
2019-05-22,123.910004,125.349998,123.769997,124.959999,124.241608,929500
2019-05-23,123.459999,124.440002,122.699997,124.419998,123.704712,1545700
2019-05-24,124.839996,125.970001,123.589996,123.680000,122.968964,718000
2019-05-28,124.110001,124.919998,122.879997,123.089996,122.382355,1179600
2019-05-29,122.269997,122.800003,120.970001,121.809998,121.109711,1015900
2019-05-30,122.459999,123.099998,121.830002,122.949997,122.243156,854100
2019-05-31,121.580002,122.199997,121.000000,121.760002,121.060005,1041500
2019-06-03,121.199997,121.949997,120.089996,120.699997,120.699997,1183800
2019-06-04,121.889999,121.889999,117.169998,121.510002,121.510002,2833800
2019-06-05,122.449997,122.449997,116.389999,118.470001,118.470001,2251100
2019-06-06,118.480003,118.849998,116.790001,118.639999,118.639999,2023900
2019-06-07,118.860001,123.000000,118.860001,120.970001,120.970001,1154600
2019-06-10,122.019997,124.330002,121.790001,123.440002,123.440002,965200
2019-06-11,124.480003,125.580002,122.440002,122.860001,122.860001,981700
2019-06-12,123.300003,124.680000,122.290001,124.269997,124.269997,1008400
2019-06-13,124.150002,124.150002,122.129997,122.470001,122.470001,1010000
2019-06-14,122.550003,124.250000,122.279999,124.129997,124.129997,801300
2019-06-17,124.099998,124.379997,122.019997,122.209999,122.209999,908700
2019-06-18,123.150002,124.449997,121.940002,122.629997,122.629997,873100
2019-06-19,123.250000,123.620003,121.720001,122.650002,122.650002,781400
2019-06-20,119.209999,121.419998,118.089996,118.739998,118.739998,3429800
2019-06-21,118.360001,118.739998,114.760002,114.839996,114.839996,2822900
2019-06-24,114.589996,117.519997,114.389999,117.099998,117.099998,2455100
2019-06-25,116.650002,117.410004,114.449997,116.040001,116.040001,1617900
2019-06-26,116.690002,117.190002,115.529999,116.550003,116.550003,1179500
2019-06-27,117.180000,119.519997,116.580002,119.199997,119.199997,1099400
2019-06-28,119.599998,121.339996,119.320000,121.209999,121.209999,2067000
2019-07-01,122.000000,122.900002,117.739998,118.070000,118.070000,2199900
2019-07-02,118.250000,119.089996,117.290001,119.040001,119.040001,1105600
2019-07-03,118.570000,118.690002,115.809998,116.540001,116.540001,1634600
2019-07-05,116.550003,116.720001,115.099998,115.400002,115.400002,2210100
2019-07-08,115.000000,115.320000,111.529999,111.889999,111.889999,2900300
2019-07-09,111.129997,112.290001,109.940002,111.220001,111.220001,3188700
2019-07-10,111.870003,112.269997,110.129997,110.379997,110.379997,2098700
2019-07-11,110.360001,110.769997,109.559998,110.400002,110.400002,2225900
2019-07-12,110.220001,110.910004,109.239998,110.139999,110.139999,3208100
2019-07-15,110.449997,113.290001,110.449997,112.849998,112.849998,3088264
